Variable Name,Data Type,Number of Unique Values,Number of Missing Values,Minimum Value,Maximum Value,Mean
id,int64,12078,0,6983,655793181544663048,1.2049106487296704e+17
host_id,int64,10858,0,11718,465695787,99448346.1250207
host_since,datetime64[ns],3415,1,N/A,N/A,N/A
host_response_time,object,4,2564,N/A,N/A,N/A
host_response_rate,object,68,2564,N/A,N/A,N/A
host_acceptance_rate,float64,99,1339,0.0,1.0,0.7217431790669523
host_is_superhost,object,2,1,N/A,N/A,N/A
host_verifications,object,7,1,N/A,N/A,N/A
host_identity_verified,object,2,1,N/A,N/A,N/A
neighbourhood_cleansed,object,11,0,N/A,N/A,N/A
latitude,float64,6773,0,55.60951,55.7428,55.680596934654446
longitude,float64,8016,0,12.43567,12.65174,12.558059299898416
property_type,object,51,0,N/A,N/A,N/A
room_type,object,4,0,N/A,N/A,N/A
accommodates,int64,15,0,1,16,3.44047027653585
bedrooms,float64,10,196,1.0,13.0,1.677495371149638
beds,float64,16,142,1.0,24.0,2.0557138069705094
amenities,object,11532,0,N/A,N/A,N/A
price,int32,1761,0,96,64900,1203.9812882927638
availability_30,int64,31,0,0,30,5.930617651929127
availability_60,int64,61,0,0,60,11.008941877794337
availability_90,int64,91,0,0,90,17.095628415300546
availability_365,int64,366,0,0,365,94.06375227686704
number_of_reviews,int64,258,0,0,690,18.697300877628745
number_of_reviews_ltm,int64,94,0,0,460,4.639758238118894
number_of_reviews_l30d,int64,19,0,0,25,0.7146878622288458
first_review,object,2607,1887,N/A,N/A,N/A
last_review,object,1284,1887,N/A,N/A,N/A
review_scores_rating,float64,118,1887,0.0,5.0,4.778886272200961
review_scores_accuracy,float64,106,1937,1.0,5.0,4.845228281234593
review_scores_cleanliness,float64,164,1937,1.0,5.0,4.7002465240114395
review_scores_checkin,float64,99,1937,1.0,5.0,4.888563258061335
review_scores_communication,float64,106,1937,1.0,5.0,4.907148210235677
review_scores_location,float64,109,1938,1.0,5.0,4.825014792899408
review_scores_value,float64,127,1937,1.0,5.0,4.720948624396016
calculated_host_listings_count,int64,20,0,1,181,4.644229177016062
reviews_per_month,float64,482,1887,0.01,22.13,0.7610440584829752
description_length,float64,975,295,2.0,1000.0,653.0385300857167
host_about_length,float64,848,5814,1.0,6640.0,261.26261174968073
nbr_bathrooms,float64,11,6,0.0,5.0,1.107935719019218
bathrooms_shared,bool,2,0,False,True,0.09198542805100182
gender,object,2,1235,N/A,N/A,N/A
days_since_date,float64,3415,1,593.0,5427.0,2950.5544423283927
price_per_person,float64,2609,0,20.5,32450.0,386.45563350158795
